Name in documentation	Category	Qty	Full Name	Notes
Aluminum frame (40x40x800)mm³	part	5		
Aluminum frame (40x80x800)mm³	part	10		
Aluminum frame (40x80x880)mm³	part	2		
Aluminum plate 1	part	5		
Aluminum plate 2	part	2		
Aluminum plate 3	part	2		
Aluminum plate 4	part	2		
Aluminum plate 5	part	3		
Aluminum plate 6	part	3		
Aluminum plate 7	part	1		
Aluminum plates 8 & 9	part	2		
Angles, 40	part	12		
Angles, 40x80	part	12		
Ballscrew & spindle nut block	part	2		
Distance plate 1mm	part	5		
Easy-Mechatronics System	part	2		
Floating bearing	part	2		
Hexagon nuts, M5	part	12		
Linear bearing, TBR20UU	part	16		
M5x20 countersunk screws	part	12		
M5x20 screws	part	24		
M5x30 screws	part	24		
M6 screw nuts	part	2		
M6x20 countersunk screws	part	32		
M6x20 screws	part	18		
M6x30 screws	part	2		
M8x18 countersunk screws	part	24		
M8x18 screws	part	64		
M8x20 countersunk screws	part	10		
Motor coupler	part	2		
Motor holder and fixed bearing	part	2		
Slot nuts, M5	part	24		
Slot nuts, M8	part	52		
Supported rail, TBS20	part	2		
Supporting rail	part	2		
